code_alpha2,change_rate_male,change_rate_female,change_rate_avg
MG,-4.0756528,-4.163725400000004,-4.119689100000016
MW,-3.413175899999999,-2.7603284999999858,-3.086752199999978
MY,1.9016194000000155,1.4582412000000033,1.6799302999999952
MV,4.8159154999999885,3.616722199999998,4.216318849999993
ML,-1.5658543999999779,-2.1184285999999872,-1.8421414999999683
MT,3.8741727999999966,3.224424599999992,3.54929869999998
MH,-3.3051916000000006,-3.064907699999992,-3.1850496499999963
MR,-5.890778300000022,-3.308582200000018,-4.599680250000034
MU,2.029523999999981,2.3663272000000006,2.1979255999999623
MX,2.7237363999999786,2.8955932000000075,2.809664799999979
FM,-0.3879804999999976,-2.445784500000002,-1.416882500000014
MD,2.7423503999999923,1.500572500000004,2.121461449999998
MN,1.8967059999999947,1.1446778000000108,1.5206919000000028
ME,2.0680156999999895,1.5445680999999922,1.8062919000000193
MA,0.5385823000000016,-0.49342050000001336,0.02258090000000834
MZ,-1.5181968999999924,-2.8917312000000095,-2.204964050000001
MM,0.7354441999999892,0.4671802000000014,0.6013121999999953
NR,-0.5510342000000037,-3.4333422999999925,-1.9921882500000265
NP,0.6309940000000154,-0.3898298999999952,0.12058204999999589
NL,1.4292945999999915,0.879724600000003,1.1545096000000115
NZ,1.1700308000000064,0.9874178000000029,1.0787243000000046
NI,0.02933590000000663,-0.163484799999992,-0.06707444999997847
NE,-3.9516591999999946,-3.7474717999999996,-3.8495655000000113
NG,-2.2575073000000145,-2.9600472000000195,-2.6087772500000312
NU,1.906779699999987,2.4728336000000013,2.18980664999998
KP,4.023328699999979,2.218770500000005,3.121049599999992
MK,2.0869953000000123,-0.32473140000001877,0.8811319499999968
NO,0.6792355999999984,-0.5632922000000065,0.05797169999999596
OM,2.3510148000000015,0.7952979000000084,1.5731563500000334
PK,-0.6077698999999939,-2.026916399999976,-1.3173431499999708
PW,-0.4354936000000009,-1.9134659000000056,-1.1744797500000175
PS,0.6728300000000047,-0.25329099999999016,0.20976949999999306
PA,1.030123400000008,-0.15570130000000404,0.43721105000000193
PG,-0.13424379999997882,-1.4626883000000248,-0.7984660500000018
PY,2.3461665999999752,1.9360600999999917,2.1411133499999835
PE,1.300145299999997,1.190951599999977,1.2455484499999727
PH,1.1027384999999867,-0.7689401000000089,0.16689919999998892
PL,2.5054700000000025,2.214720399999976,2.3600951999999893
PT,3.295112099999983,2.8343710999999985,3.0647415999999907
PR,1.0137380000000178,0.5387907000000212,0.7762643500000195
QA,0.519415500000008,0.48478040000000533,0.5020979500000067
RO,0.8833033999999884,1.2133211000000017,1.0483122499999808
RU,1.4685914000000082,2.452676700000012,1.9606340500000101
RW,-4.526503200000008,-3.7562945999999897,-4.141398900000013
KN,-0.39320449999999596,-2.770599400000009,-1.5819019500000309
LC,-0.04223700000000008,-1.2632914999999798,-0.6527642499999615
VC,1.2496953000000133,0.19035590000001434,0.7200256000000138
WS,2.4170674000000076,0.7715964999999869,1.5943319499999689
ST,-2.8315383999999995,-0.9942759999999851,-1.912907199999978
SA,0.018858099999988553,-0.42254849999997646,-0.20184519999997974
SN,-1.4460701999999799,-0.996117699999985,-1.221093949999954
RS,2.405424499999981,2.82397610000001,2.6147003000000097
SC,1.270911500000011,0.7430360999999834,1.0069737999999688
SL,-3.2180662999999754,-1.9249678000000188,-2.571517049999983
SG,2.8942393000000095,2.5465963999999985,2.7204178500000182
SK,1.994329399999998,2.6139843999999925,2.304156899999981
SI,2.800941200000011,2.1819758999999976,2.4914585500000044
SB,-2.862404600000019,-1.5389174000000025,-2.2006609999999966
SO,-1.8595090000000027,-1.8906485999999916,-1.8750788000000114
ZA,-2.4788167999999757,-1.4077548000000206,-1.943285799999984
KR,4.6651814999999885,4.2736065,4.4693940000000225
ES,4.159626900000006,3.1565039000000183,3.6580654000000266
LK,1.6808326000000022,1.7171761000000174,1.699004350000024
SD,-1.8509680999999887,-1.9397730000000024,-1.8953705499999955
SR,1.2064572000000169,0.2164522000000204,0.7114547000000186
SE,0.29121800000001485,-0.41880009999999857,-0.06379104999996343
CH,2.5796046000000104,-0.3151678999999774,1.1322183500000165
SY,0.5141500000000008,0.6500264000000016,0.582088199999987
TW,5.859889800000019,4.245342699999981,5.052616250000028
TJ,0.3774338000000057,-1.8954867000000206,-0.7590264499999932
TZ,-2.902672800000005,-1.2763228999999967,-2.0894978499999866
TH,4.2599659999999915,3.418814200000014,3.839390100000003
TL,-1.3360719000000074,-1.0304233999999894,-1.1832476499999984
TG,-1.4912220999999874,-1.5567588000000114,-1.5239904499999852
TK,2.0540029000000004,-0.1582531999999901,0.9478748500000052
TO,0.005662100000023429,-0.49477319999999736,-0.24455555000000118
TT,0.5989022000000261,-0.7446686000000113,-0.07288319999997839
TN,2.9228668000000084,1.8967625999999882,2.4098146999999983
TR,3.0725164999999777,2.7307706999999937,2.9016436
TM,0.4890789999999754,-0.4499682000000007,0.019555400000001555
TV,0.17452330000000416,-1.5204836999999998,-0.672980200000012
UG,-3.920756900000015,-3.0797653000000196,-3.5002611000000172
UA,2.3314615000000174,2.3155638000000067,2.323512649999998
AE,0.5371582999999873,0.6701036000000045,0.6036309500000243
GB,1.2616452999999979,1.2780375000000106,1.26984139999999
US,-0.15537249999999858,-0.21790409999999838,-0.18663829999999848
UY,1.0654155999999944,2.3034973000000036,1.684456449999999
UZ,-1.176978599999984,-1.5331369000000166,-1.3550577500000145
VU,0.003940199999988181,-1.1445112000000108,-0.5702855000000113
VE,2.3322373000000027,1.0502420999999913,1.6912396999999828
VN,1.3118766999999991,0.10680390000001694,0.709340300000008
YE,-4.674712400000004,-0.7537432999999965,-2.714227849999986
ZM,-2.95256950000001,-3.6039121000000023,-3.278240799999992
ZW,-2.3885329999999954,-2.599510600000002,-2.4940217999999845
