code_alpha2,change_rate_male,change_rate_female,change_rate_avg
AF,0.5130833000000052,-1.3289262000000122,-0.40792145000000346
AL,0.5664647999999772,0.7883238000000006,0.6773943000000031
DZ,-1.8439364999999839,-0.2803287999999782,-1.0621326499999952
AS,1.8778250000000014,1.1001856000000032,1.4890053000000307
AD,3.225443399999989,2.3686031999999955,2.7970233000000064
AO,-2.303894299999996,-2.0004543999999953,-2.1521743499999957
AG,1.2193603999999993,0.15543230000000108,0.6873963499999718
AR,2.618570300000016,0.13561140000001615,1.3770908500000019
AM,0.6166583999999773,0.06284189999999512,0.3397501499999862
AU,2.234830400000021,2.0563740000000053,2.145602199999985
AT,0.3636517000000197,-0.04748899999998457,0.15808135000003176
AZ,-2.051387599999998,-0.2955838999999969,-1.1734857499999976
BS,1.2360635000000002,0.19250439999999003,0.7142839499999809
BH,0.15911570000000097,-0.3221851999999785,-0.08153475000000299
BD,0.05994369999999094,-0.5814939999999922,-0.2607751500000006
BB,1.2308174000000065,2.189924899999994,1.710371149999986
BY,2.3178106000000014,2.3109082,2.3143594000000007
BE,5.028434400000009,1.8306349000000068,3.429534650000022
BZ,0.7849243000000001,0.7312215999999978,0.7580729499999848
BJ,-3.6396030000000223,-4.328205800000006,-3.9839044000000285
BM,1.207831199999987,0.1918732000000034,0.6998521999999809
BT,2.0414387000000147,-0.315515199999993,0.8629617500000109
BO,1.6861105000000123,1.9473205000000178,1.8167155000000434
BA,1.884869100000003,-0.6640673000000277,0.6104009000000019
BW,-0.5269073000000049,-0.9695638999999971,-0.7482356000000152
BR,3.7030943000000036,3.3174720000000093,3.5102831500000207
BN,1.7794789999999807,1.0134060999999974,1.3964425499999606
BG,2.0556535000000054,1.5193777000000068,1.787515600000006
BF,-1.4821663000000171,-2.485504600000013,-1.983835450000015
BI,-1.8933965999999884,-3.107005799999996,-2.5002011999999922
KH,1.2034630999999933,-0.6160280999999941,0.2937174999999854
CM,-3.4212696000000165,-2.6080260000000237,-3.014647800000006
CA,2.372936199999998,1.373757299999994,1.873346749999996
CV,0.4094313000000227,-0.3497728000000109,0.029829250000005914
CF,-2.252803499999999,-1.4596354999999903,-1.8562195000000088
TD,-2.1630137999999874,-3.4869065000000035,-2.8249601499999812
CL,2.7484991000000036,3.214062299999995,2.981280699999985
CN,3.505698200000012,2.1731307000000015,2.839414450000021
CO,2.1699986999999794,1.891331600000001,2.030665149999976
KM,0.115094699999986,-0.9286610000000053,-0.40678314999999543
CG,-2.71891549999998,-1.81537560000001,-2.2671455500000093
CK,0.2917103999999995,-0.76070279999999,-0.23449619999996685
CR,0.5761283000000219,0.6132356000000243,0.5946819500000515
